epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,115.546,0.25343,0.21911,0.81097,0.96159,0.98894,0.995,0.86651,0.76109,0.30927,1.53289,0.000226497,0.000226497,0.000226497
87,116.87,0.26724,0.2277,0.80593,0.96153,0.99116,0.995,0.85838,0.76277,0.30895,1.53103,0.000212349,0.000212349,0.000212349
88,118.232,0.24311,0.20366,0.81133,0.91968,0.94382,0.995,0.85671,0.73352,0.36514,1.52572,0.000198202,0.000198202,0.000198202
89,119.535,0.25592,0.20459,0.84924,0.85266,0.83793,0.995,0.85124,0.71949,0.59487,1.51041,0.000184055,0.000184055,0.000184055
90,120.879,0.25371,0.19137,0.80679,0.72755,0.92888,0.995,0.85312,0.63681,0.91132,1.38641,0.000169908,0.000169908,0.000169908
91,123.173,0.24416,0.19289,0.80434,0.72657,0.92654,0.995,0.86178,0.61109,0.92207,1.35726,0.000155761,0.000155761,0.000155761
92,124.548,0.24077,0.18367,0.79456,0.93668,0.89811,0.995,0.86219,0.66872,0.36668,1.46592,0.000141614,0.000141614,0.000141614
93,126.008,0.25106,0.18587,0.79768,0.98056,0.99689,0.995,0.86459,0.67662,0.28067,1.47212,0.000127467,0.000127467,0.000127467
94,127.325,0.2435,0.18115,0.84318,0.98087,1,0.995,0.86589,0.68991,0.27411,1.4839,0.00011332,0.00011332,0.00011332
95,128.585,0.23344,0.1756,0.79449,0.98204,1,0.995,0.88296,0.69466,0.27496,1.48536,9.91726e-05,9.91726e-05,9.91726e-05
96,129.928,0.24227,0.18034,0.82381,0.98399,1,0.995,0.88785,0.69025,0.2854,1.47635,8.50255e-05,8.50255e-05,8.50255e-05
97,131.214,0.2391,0.17582,0.79942,0.98426,1,0.995,0.88785,0.68926,0.27859,1.47445,7.08784e-05,7.08784e-05,7.08784e-05
98,132.436,0.24268,0.17865,0.78604,0.98401,1,0.995,0.88158,0.68798,0.28126,1.47213,5.67313e-05,5.67313e-05,5.67313e-05
99,133.758,0.22389,0.16272,0.81113,0.98403,1,0.995,0.88158,0.68083,0.28071,1.4611,4.25842e-05,4.25842e-05,4.25842e-05
100,135.084,0.21233,0.16552,0.78882,0.983,1,0.995,0.8827,0.67509,0.27688,1.45111,2.84371e-05,2.84371e-05,2.84371e-05
